ID,Solution Set: Group Experienced
22222221,"Something like this could be the personal transportation of the future. You'd have to eliminate a lot of safety issues, but a personal transporter that doesn't require the use of roads, or create traffic jams could be amazing. Cold fusion technology might make this possible, or the EMDrive"
22222222,"So in this idea you have a train system, but cars joining the existing train are accelerated prior to joining a constantly moving train.  This means the train effectively never stops to pick up passengers.  It just releases cars onto slipways.  It makes the trains completely reliable to within minutes"
22222224,"hydrogen fuel cell (powered by rain water), no pedalling, automatic gear-changing, lightweigh composite "
22222227,metal platform for a person to stand and can move around 
22222229,"aeroplane, hand phone, internet, aircon, wireless connection, GPS "
22222230,"mini car, solar panel "
22222232,"frame detachable, usb charged enabled (battery), detachable wheels which can be bagged "
22222233,"travelator for short distance, cover/ shelter "
22222234,anywhere door 
22222235,"double deck, MRT trains "
22222236,vertical transport system 
22222240,"lego inspired modular car, safety, space saving, private "
22222242,Magic flying carpet 
22222243,hoverboard 
22222245,car that can travel on water - make us of water as 'road' to travel around Singapore 
22222246,"Personal Hover Craft, All terrain personal hover craft, Patent Pending "
22222247,driverless vehicle 
22222249,"skateboard, jet propelled "
22222251,hover 
22222252,"Motorised roller blades, to be allowed on the roads "
22222253,jetpack 
22222254,"individual bubble carrier/ car, mind sensor knows where you want to go after you enter "
22222255,"never slows down, exit and decelerate, modular train concept, accelerator "
22222257,underground road system 
22222260,"Motor, motor "
22222263,roller blade without wheels 
22222264,Wheels
22222265,air-rail 
22222266,travelator 
22222267,"personal transportation system, mrt "
22222268,"house on the move, levitating boots/ shoes to move faster, roads for levitating boots to propel (like maglev for trains), gps enabled, route sensitive, set routes "
22222269,gyrocycle 
22222270,flying convertible car 
22222271,wing
22222273,traffic condition update on road usage and suggest best  route to work/ travel 
22222275,stabilizers 
22222276,helicopter scooter 
22222277,"help, it stinks, drainage system, glass dome for smell control "
22222280,underground road system 
22222281,"balloon, ship, wheel, rudder "
22222284,bicycle 
22222285,"Take lift up, MRT/ Bus stop "
22222286,"boat using reservoir, ensure seamless connection to land transport "
22222288,"cardless, personal flying device, smart bicycle "
22222289,"jurong, changi, teleportation "
22222290,Trust powered
22222300,gps umbrella to direrct commuter to nearest MRT 
22222302,GPS unmanned 
22222303,transport that bring to your dooestep 
22222304,double decker MRT cabins 
22222306,"trains fail less, more fault tolerant "
22222307,"comprtible, jetpack, jetpack tax, nuclear powered "
22222309,super fast train travels in sea 
22222312,"Wings, jet, steerer, solar powered energy storage "
22222313,"add bat-wings style sails, motor, wheel-less, use magnetic plates to create frictionless surfaces "
22222317,rolling ball vehicle 
22222320,"portal'ble, joo koon, pasir ris "
22222321,low flying air transporter 
22222323,weather proof 
22222324,"fueled bu natural elements, no need to re-charge with electricity (environmetally friendly), with umbrella to shield from sun & rain "
22222325,glass 
22222326,"flying car, with sensor for collision detection and anti-tailgating feature "
22222327,personalised helicopter 
22222328,"remote controls, sensors to avoid collision  "
22222329,"doraemon: on-demand, point to point, across time "
22222330,Exo-skeleton assisted movement 
22222331,"the train that does not stop at train stations, existing train tracks, train station "
22222334,compact 
22222336,"magnetic levitation, rail tracks "
22222337,"personal capsule, pipes/tubes "
22222341,driverless car
22222343,underwater 
22222344,"teleport, port a, port b "
22222346,Hover board
22222348,"helicap, conceived from idea of helicopter "
22222349,navigation cum entertainment system 
22222350,teleporting door 
22222351,"modular pieces to form car, aeroplanes, truck > to be a car, truck & aeroplane at the same time "
22222353,"jetpack kiosk, jetpack, wind propelled/ magnetic "
22222355,aero-bridges (travelators) 
22222357,personal transporter 
22222359,work from home if possible for certain types of professional 
22222360,"all lane, all lane, heli lane, car lane, car lane, car lane, bike lane, train LRT, train MRT - based on peak "
22222362,sunbathing chair with wheels 
22222363,"bubble tube transport system, bubble to house people, system transfer based on destination "
22222364,telecommuting: complete removal of need to take the pblic transport to get to work 
22222366,no aircon 
22222367,"collapsible electric scooter, charging system, key in location, the scooter will head to the destination, one button to collapse the scooter, collapse, 20cm by 20cm "
22222368,can travel on land and fly in the sky 
22222369,"magnetic shoes, magnetic roads "
22222370,hovering/ levitating 
22222372,green energy powered conveyor belt to replace highway 
22222373,multistories railway
22222374,tube 
22222376,unmanned guided vehicle 
22222377,"personal transport system, collapsible "
22222379,super high speed transportation pods that do not require stops between any point 
22222380,"abracadebra, teleport "
22222382,underground links/ roads for only pedestrians/ personal transport devices 
22222385,hovercraft 
22222386,mini buses with self driving bus-lane 
22222389,Electrical car w/o wheels 
22222390,smartphone to select destination 
22222395,"non-deflatable wheel, shock absorbing, rubber guard-prevent accidents, gps, auto "
22222399, electric pod for dedicated pedestrian walkways 
22222404,teleportation 
22222405,"doraemon, voice-control self gps "
22222407,flying saucer 
22222411,parachute in case of failure 
22222412,fly 
22222413,high speed capsule 270km/hr 
22222414,hover buggies 
22222415,"country a (matter to electron), country b (electron to matter) "
22222418,air 
22222419,roller skating 
22222420,"magnetic field chair/ device, massage chair "
22222421,"personal, hoverboards "
22222422,Personal Transportation device 
22222424,"retract blades, retract wheels, run on compressed air "
22222425,mass conveyor belt 
22222426,drones delivering people like how stocks deliver babies. Point A to point B with preprogrammed flight plan 
22222427,skaters track on pavement 
22222428,hamster ball 
22222429,sheltered 
22222431,GPS 
22222434,"personal transport board, bigger wheels, extend small wheels outwards "
22222435,"skyline sheltered, roller ball control by brain wave, solar powered "
22222436,magnetic levitation 
22222437,tracks 
22222438,solar panel 
22222439,"driverless, rotating blade-fly when in jam "
22222442,"touch screen, navigation screen that will auto navigate based on selected route, glass, couch cum massager "
22222443,in-built camera with gps 
22222446,Flying PDA for SOS 
22222447,motor boat that navigate the canal network/ reservoirs in this island 
22222450,"sliding, magnetic sole, magnetic floor "
22222451,mechanical skeleton to move based on brain signals 
22222453,Teleport 
22222454,triple decker bus 
22222455,"underground network of LRT, ground level, central, ave 1 "
22222456,jetpack 
22222459,motorised single person car 
22222460,vertical takeoff 
22222462,"teleport system: 1. scan the molecular structure 2. send the digitalized information over 3. once transmission completes, build the molecular structure, destroy the body, for far away places use quantum entanglement "
22222463,motorised shoes 
