,token,POS,count,relevance
0,reuse,VERB,1,0.2804123293714107
1,run,VERB,125,0.21713164263808524
2,reduce,VERB,48,0.2082534370025568
3,tether,VERB,1,0.30138354969025094
4,pedal,VERB,2,0.24360526496977006
5,motorize,VERB,7,0.20387507906147595
6,school,VERB,1,0.24899877823465372
7,drop,VERB,39,0.21741093698510464
8,drive,VERB,135,0.4602890943015365
9,travel,VERB,67,0.21478098140658836
10,bypass,VERB,4,0.43298341241538507
11,direct,VERB,3,0.2100297356648676
12,hardware,VERB,1,0.3538637954714164
13,mount,VERB,1,0.25684907766589676
14,around,VERB,1,0.29687398914202723
15,control,VERB,15,0.3432627520440711
16,near,VERB,1,0.3186580325469558
17,offset,VERB,2,0.21188040452264173
18,mover,VERB,2,0.3254408119840243
19,waste,VERB,5,0.31614247789046934
20,pool,VERB,5,0.2892591160031195
21,branch,VERB,1,0.347810063263829
22,skateboard,VERB,1,0.28519394060447445
23,pack,VERB,1,0.25140374654058295
24,land,VERB,4,0.4523086880540627
25,dodge,VERB,2,0.30187373545966223
26,act,VERB,3,0.23989576156991096
27,center,VERB,1,0.29002921120234904
28,place,VERB,7,0.27585773278713455
29,police,VERB,1,0.37233498199451887
30,use,VERB,244,0.2220070161444037
31,program,VERB,9,0.30691324087004795
32,move,VERB,89,0.21031975954449894
33,wire,VERB,1,0.308875693000559
34,dispatch,VERB,2,0.2201440604032921
35,stop,VERB,54,0.24853304081716293
36,lower,VERB,4,0.30584103676495483
37,hoverboard,VERB,1,0.35473582061338804
38,lease,VERB,1,0.30900576654420986
39,tax,VERB,2,0.3259226543283085
40,model,VERB,1,0.2721316174616888
41,refuel,VERB,1,0.20290589976748014
42,craft,VERB,1,0.4301705171773287
43,permit,VERB,1,0.28708686060544203
44,square,VERB,1,0.3729681287770701
45,wheel,VERB,2,0.44142511850441607
46,recharge,VERB,4,0.21519807178308137
47,screw,VERB,1,0.24514988726377185
48,accord,VERB,1,0.22675019172268995
49,getthere,VERB,1,0.31814640885447126
50,switch,VERB,5,0.25195301918816815
51,point,VERB,2,0.2521483566159355
52,selfpropelled,VERB,1,0.2839377544201338
53,open,VERB,9,0.2218088317525761
54,license,VERB,2,0.3411795606197467
55,deposit,VERB,1,0.3054752566304524
56,range,VERB,4,0.3359696464187426
57,exit,VERB,3,0.35931084853989587
58,dial,VERB,1,0.20492462794793131
59,charge,VERB,26,0.25744422580466875
60,fund,VERB,4,0.20712789271102605
61,bar,VERB,1,0.24265298365324234
62,supply,VERB,1,0.34599176208379506
63,lightning,VERB,1,0.2051037356866969
64,town,VERB,1,0.6409688353802443
65,border,VERB,1,0.3658079885035058
66,state,VERB,1,0.43199733194018797
67,load,VERB,4,0.3400983122232983
68,ship,VERB,1,0.5484711156640679
69,board,VERB,4,0.22763864413795887
70,interconnect,VERB,2,0.2257962411897943
71,redesign,VERB,1,0.2590353738493252
72,rotors,VERB,1,0.2956875738601641
73,cost,VERB,7,0.34710560957882475
74,glare,VERB,1,0.21352302354101668
75,glide,VERB,4,0.2642665753986511
76,map,VERB,1,0.27316013415855
77,type,VERB,4,0.2846952716357377
78,carpooling,VERB,10,0.34306559891352983
79,filter,VERB,1,0.22462545684787014
80,express,VERB,2,0.20919889878217746
81,flag,VERB,2,0.31748772733705366
82,aboveground,VERB,1,0.3165529259027968
83,operate,VERB,23,0.2596457393115887
84,chain,VERB,1,0.34716540760067244
85,nonpolluting,VERB,1,0.20249201525079263
86,disable,VERB,1,0.20389905013672205
87,shuttle,VERB,4,0.50068742035363
88,tow,VERB,1,0.3677208989497537
89,service,VERB,5,0.40284536302361035
90,dart,VERB,1,0.31642596169277043
91,lug,VERB,1,0.25871549434577484
92,rack,VERB,3,0.2662922138062046
93,hover,VERB,9,0.2869290376031671
94,plan,VERB,4,0.3922580899435756
95,upgrade,VERB,1,0.4062988930147055
96,condition,VERB,2,0.20054903209411415
97,funnel,VERB,2,0.3092168791547494
98,park,VERB,12,0.3958480277000856
99,double,VERB,1,0.24251487517713255
100,store,VERB,6,0.3321521052581335
101,back,VERB,2,0.20551291173302078
102,incline,VERB,1,0.2903523869354896
103,train,VERB,3,0.5751380579691464
104,harness,VERB,3,0.20632184298615816
105,bicyclists,VERB,1,0.3267033873821953
106,lift,VERB,7,0.384125631629143
107,pit,VERB,1,0.3113620611046134
108,driverless,VERB,1,0.44736040572719804
109,station,VERB,3,0.647254845866885
110,ride,VERB,65,0.39431880134605307
111,transport,VERB,42,0.5411269005015813
112,speed,VERB,3,0.4019156893150948
113,ferry,VERB,1,0.4350564852557279
114,port,VERB,1,0.5058291112869897
115,fuel,VERB,1,0.5068225676430179
116,circle,VERB,5,0.2748507859449319
117,rest,VERB,1,0.23744410021487927
118,shop,VERB,6,0.2319013483018717
119,increase,VERB,7,0.2295705724788524
120,float,VERB,4,0.30389537443230674
121,access,VERB,6,0.28223829808198353
122,function,VERB,7,0.279629333258639
123,halt,VERB,1,0.20497844681637134
124,ridesharing,VERB,3,0.34354931827355983
125,house,VERB,2,0.31628500653193736
126,target,VERB,1,0.3893329154061653
127,force,VERB,1,0.31526625090619953
128,stock,VERB,1,0.3553937851674446
129,paddle,VERB,1,0.24878285356750834
130,sport,VERB,1,0.21265631608162766
131,toll,VERB,1,0.3775333272595749
132,base,VERB,20,0.4856571945107938
133,cycle,VERB,1,0.24814725241443997
134,limit,VERB,3,0.23245225836653005
135,bike,VERB,8,0.5643797310512227
