Synthesized,ID,Solution Set: Group Experienced
electric vehicle,22223825, solar- powered bicycles 
flying,22223590," can land aircraft as well, park in the sky "
000noise,22223103,time traveller
levitation,22223408," personal motorised levitation platform, electric rail "
000noise,22223189,"Computers, aircon, ipad, telephone, internet, car"
levitation,22223754," levitating wheels, no more punctured tyres "
self-driving cars,22223612," automated, just key in and it bring you there. Don't have to control and do your things while travelling eg. Watch movie "
boat,22223377, sea 
service - sharing,22223852," transportation system: carpool (efficiency), few stops/ destination, express transport sytem, reliable "
000noise,22222325,glass 
standard bus,22222712,"public transport: seld drive bus> lesser human error, higher bus frequency "
electric vehicle,22223363," single person, motor shoes, remotes control, speed buttons "
self-driving cars,22222730,"woodlands statellite town, bike tracks, driverless track, jurong town, central town, changi town, satellite town, boats "
flying,22223057,"flying mass transport, can go faster, less obstacle, personal transport , two layers "
000noise,22223393, reduced height 
electric vehicle,22223553," electric car, electric induction "
self-driving cars,22223884, automated driverless car 
flying,22222697,shoes + drones 
levitation,22223795," personal transport by standing on top, levitate, propulsion system"
access,22223572," device replace carkey/ finger print concept, etc "
self-driving cars,22223878,driverless vehicle (on land and sea) 
moving surface,22223389, retractable travelator 
electric vehicle,22223822, solar panel 
flying,22222276,helicopter scooter 
regulation,22223573," dedicated lanes/ roads, electric trams? "
regulation,22223668," car-free zone, car at underground road, surface car-free, car at the underground"
000noise,22223273,"portal, use wormholes, teleportation, teleportation system "
standard bike,22223404," personal, portable, compact, equipment, foldable, portable bicycle, lightweight, fold into brief case size "
regulation,22223629," 3km/hr, 11km/hr "
000noise,22223095,"teleportation ""Beam me up Scotty!"" "
human powered,22223485, human on wheels 
flying,22223175,"flying bus ufo thing, wheels of fire, iron man-ish "
flying,22223887, iron man suit
self-driving cars,22223567, driveless transport ports 
self-driving cars,22222692,automated personal pods 
enhanced car,22223622," air, sea & land transporter "
electric vehicle,22223197,Electric skateboard 
000noise,22223312, turn the knob 
flying,22223322, travel by air 
000noise,22222852,"roadside trees, canopy walk "
service - sharing,22223786, on demand 
moving surface,22223152,travelator - conveyor belt 
cable,22223281," Zip lines from buildings to buildings, with stowable ziplining device, stores heat energy from the ziplining, bonus parachute for safety "
flying,22223583, cars with wings 
shoes,22223465, just make it into shoes 
self-driving cars,22222701,"self-drive, suto electric car "
electric vehicle,22223811," segway? Motorised? To move faster, HDB, flying fox, mass transit helicopter, need landing helipad, say from east to Tuas?"
000noise,22223841, teleportation
000noise,22223846, telepresence 
regulation,22223294, virtual-tele-conference 
