,index,Similarity_Type,Number of Clusters (input),Number of clusters(output),Affinity Type,Word/Sentence,File_Name,Clusters,Mismatch Metric,Match Metric,M
0,1,num_word_similarity,8,8,nearest_neighbors,sentence-based,n50_de_bc,"[2 6 2 2 5 6 1 4 5 5 5 5 4 2 5 3 5 7 6 2 6 0 1 1 1 3 3 6 3 3 0 5 5 1 6 3 1
 1 5 1 7 0 4 3 1 7 4 1 5 7]",425.0,75.0,5.5
1,2,num_word_similarity,8,3,nearest_neighbors,word-based,n50_de_bc,"[3, 3, 2, 2, 2, 3, 3, 3, 2, 3, 0, 3, 3, 3, 2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 3, 0, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3]",1441.0,155.0,10.0
2,3,num_word_similarity,8,8,precomputed,sentence-based,n50_de_bc,"[0 5 7 1 2 3 7 3 2 2 2 1 6 1 2 2 2 5 1 1 5 0 7 4 7 6 6 5 2 1 0 2 2 5 3 3 1
 3 2 6 2 0 7 6 7 2 3 7 2 5]",453.0,79.0,6.0
3,4,num_word_similarity,8,7,precomputed,word-based,n50_de_bc,"[2, 2, 1, 4, 1, 1, 2, 1, 1, 3, 0, 1, 2, 1, 3, 1, 5, 1, 1, 2, 2, 4, 1, 1, 2, 1, 3, 3, 1, 1, 6, 2, 3, 6, 1, 2, 1, 2, 3, 1, 6, 1, 1, 2, 4, 1, 2, 1, 3, 2]",731.0,97.0,3.0
4,5,num_word_similarity,8,8,rbf,sentence-based,n50_de_bc,"[0 0 0 0 2 0 0 0 0 0 5 0 0 0 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 0 0 0
 0 7 0 0 0 0 0 0 0 0 0 1 0]",1639.0,169.0,1.0
5,6,num_word_similarity,8,2,rbf,word-based,n50_de_bc,"[6, 6, 0, 0, 6, 6, 6, 6, 6, 6, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",2035.0,193.0,25.0
6,7,num_word_similarity,8,8,sigmoid,sentence-based,n50_de_bc,"[0 3 0 0 4 2 0 1 0 2 2 2 1 7 1 0 1 2 6 0 2 0 0 2 0 0 0 2 1 0 0 5 0 0 2 0 2
 2 1 0 0 0 2 0 1 0 0 0 2 0]",853.0,99.0,1.0
7,8,num_word_similarity,8,3,sigmoid,word-based,n50_de_bc,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 0, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2035.0,191.0,2.0
8,9,num_word_similarity,8,8,polynomial,sentence-based,n50_de_bc,"[4 7 0 0 0 2 6 4 0 0 0 0 4 7 0 0 0 5 7 0 1 0 0 7 0 0 0 2 0 0 0 0 0 3 2 0 0
 0 0 0 0 0 4 0 0 0 4 6 0 6]",1091.0,99.0,3.0
9,10,num_word_similarity,8,1,polynomial,word-based,n50_de_bc,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2297.0,203.0,50.0
10,11,num_word_similarity,8,8,poly,sentence-based,n50_de_bc,"[6 4 0 0 0 0 5 6 0 0 0 0 6 4 0 0 0 7 4 0 1 0 0 4 0 0 0 3 0 0 0 0 0 2 3 0 0
 0 0 0 0 0 6 0 0 0 6 5 0 5]",1139.0,105.0,2.5
