Reconciled,ID,Solution Set: distributed Experienced
standard rail system,4444441,A bullet train to connect major cities in the state and outside of the state.
cable,4444442,A cablecar system
service - sharing,4444443,A car sharing system to help with the last leg or mile of transportation from the bus or rail or subway. A system where you have a share or part ownership in a fleet of cars.
010noise,4444444,A chalkboard based on the same technology as a Magna-Doodle. No more buying chalk or markers.
026noise,4444445,A device that can tap into a person's brain that could stop addictions.
011noise,4444446,a great discover for human
standard rail system,4444447,A grid system in which people load and unload off of a small transit rail.
boat,4444448,A lazy river that takes people to St. Charles so they can go to the french quarter.
self-driving cars,4444449,"A local company bought and released a fleet of self-driving cars for my neighborhood.  All you need to do is open up their app on your phone and request a vehicle by GPS or address. It arrives in a short amount of time or you can schedule it to arrive at a certain time. For a small fee or with a subscription fee, you can be taken anywhere without owning a car."
personal vehicle,4444450,A moving form of transportation where a user stands on one leg and kicks off over and over with the opposite leg in order to propel forward.
standard bike,4444451,"A networked bicycle system in town that lets people connect for riding, either to work, or out for fun. It would get the community involved together, and do a lot better with lowering polution."
moving surface,4444452,"A nice way of transportation would be moveable sidewalks, like from The Jetsons."
moving surface,4444453,"A people mover like in the airport, but in place of regular city sidewalks instead."
standard bus,4444454,A public bus transport system that will alllow commuters to get from point A to point B. This will allow for citizens to save money and be energy efficient.
standard rail system,4444455,A rail system which uses the median on interstates for the tracks. That way no space needs to be cleared for infrastructure. Entrance and exit would need to be to overpasses the interstate travels under.
personal vehicle,4444456,"A scooter called the ""quad-scooter"" could hold up to 4 people with a glass bubble around it to shield them from debris and help keep them safe."
regulation,4444457,A sensor that let's the parent/ driver know that their child's car seat is properly installed
self-driving cars,4444458,"A series of small, 2-seater autonomous electric vehicles designed to transport people, on call, to the regular bus routes that already run.  Think of them as the vehicular solution to the 'last mile problem'. This would allow people to completely dispose of their cars, while allowing people with little mobility to utilize the bus system.  Because the autonomous system is limited to the neighborhood -- i.e. roads where the speed limit is, at a maximum, 25 mph -- the vehicles can be pretty lightweight, since they won't have to deal with the problem of high-speed crashes.  Being autonomous, the vehicles can be used by *anyone* of any age. Because they are electrically powered, they place no additional hydrocarbons in the atmosphere.  Because they are in the neighborhoods, they place the bus system within everyone's reach.  Because everyone can use them, day or night, the number of cars on the road can be reduced substantially, thus reducing the hydrocarbon emission problem considerably.  Reducing the number of cars on the roadways make *every* neighborhood 'walkable': the dream of urban planners everywhere. The vehicles could be assembled and maintained locally, therefore  providing local employment. Funding could come out of already-existing local transportation millages: reducing local pollution rates would increase local property values. A small investment in this innovative solution could result in a large increase of the quality of life for everyone!"
cable,4444459,A series of ziplines that can get you downtown.
service - renting,4444460,"A simple bicycle exchange and rental program that works on a library card system. Bicycles are locked up around the city, and there are stations for returning bikes in padlocks. The whole system is operated by swiping a public library card."
electric vehicle,4444461,"A smart car golf cart hybrid, weight relieved and runs on veg oil or electricity. For short trips ie: school,mail box, corner store. Licenced for the road with a top speed of 45mph"
regulation,4444462,A smart road grid that would integrate with electronic on each vehicle and be able to route traffic flow for the best efficiantly give traffic patterns at a given moment
self-driving cars,4444463,A system with auto mated self driving vehicles powered by cold fusion technology
comforts,4444464,A Transportation which is used for elder and physically challenged people.
service - sharing,4444465,"A traveler uses an app or calls a number to set up a pickup location and destination. An automated taxi picks the traveler up and takes him/her to a hub. The traveler transfers onto a sky train. The sky train is either a fast monorail or a helicopter. The sky train departs to a hub closest to the destination. The traveler gets off and enters another automated taxi, which finishes taking him/her to the destination."
personal vehicle,4444466,A vehicle that is self powered but only when the user operates the peddles under their own power. A steering mechanism is on the upper front area that allows an operator to turn left or right.
self-driving cars,4444467,ai controlled vehicles so we can eat and do things during the commute
standard rail system,4444468,All cities connected with Train Network. It is the very comfortable transportation system for all humans.
comforts,4444469,all of use us then car is comfertable at the every movement
enhanced car,4444470,All persons having two wheelers or four wheelers or both. That time may be very high traffic while travelling. So increasing the road transportation as possible in near future.
012noise,4444471,all the transport is very very important to our life.
013noise,4444472,all the vehicles have very important our life.
