Ryan,ID,Solution Set: distributed Experienced
wtf,4444444,A chalkboard based on the same technology as a Magna-Doodle. No more buying chalk or markers.
noise2,4444446,a great discover for human
noise7,4444471,all the transport is very very important to our life.
noise6,4444472,all the vehicles have very important our life.
increase channels (combine with underground walkways),4444504,double decor traines
noise8,4444515,future transportation system in my neighborhood is very important our life.
noise4,4444520,good
safety,4444457,A sensor that let's the parent/ driver know that their child's car seat is properly installed
cable car,4444442,A cablecar system
flying,4444527,How about a lift service through the air.
self-driving cars,4444458,"A series of small, 2-seater autonomous electric vehicles designed to transport people, on call, to the regular bus routes that already run.  Think of them as the vehicular solution to the 'last mile problem'. This would allow people to completely dispose of their cars, while allowing people with little mobility to utilize the bus system.  Because the autonomous system is limited to the neighborhood -- i.e. roads where the speed limit is, at a maximum, 25 mph -- the vehicles can be pretty lightweight, since they won't have to deal with the problem of high-speed crashes.  Being autonomous, the vehicles can be used by *anyone* of any age. Because they are electrically powered, they place no additional hydrocarbons in the atmosphere.  Because they are in the neighborhoods, they place the bus system within everyone's reach.  Because everyone can use them, day or night, the number of cars on the road can be reduced substantially, thus reducing the hydrocarbon emission problem considerably.  Reducing the number of cars on the roadways make *every* neighborhood 'walkable': the dream of urban planners everywhere. The vehicles could be assembled and maintained locally, therefore  providing local employment. Funding could come out of already-existing local transportation millages: reducing local pollution rates would increase local property values. A small investment in this innovative solution could result in a large increase of the quality of life for everyone!"
personal transport,4444461,"A smart car golf cart hybrid, weight relieved and runs on veg oil or electricity. For short trips ie: school,mail box, corner store. Licenced for the road with a top speed of 45mph"
service - sharing,4444475,An electric scooter renting/check in system
standard train,4444477,An electromagnetic solar powered monorail. Its only a means to replace a standard city beltway people would commute to parking lots and take the rail to the inner city where it would connect with the local subway and bus system for extentability.
noise1,4444507,electricity is the great discover
flying,4444511,Flying cars
increase density,4444470,All persons having two wheelers or four wheelers or both. That time may be very high traffic while travelling. So increasing the road transportation as possible in near future.
standard bus,4444484,"Automated high-density, elongated cars."
comforts,4444492,Car seats with massagers built in.
flying,4444474,An air based transportation system built on smart drone technology.  The drone would need to be large enough and powerful enough o carry people and goods
flying,4444495,Cars with airplane wings!
noise3,4444509,Fly for smart phone
noise5,4444512,Flying cell phone
flying wearable,4444537,I have a transportational idea to use jet packs powered by biofuel.
hovercraft,4444524,Hover boards
hovercraft,4444525,"Hoverboards, such as the one that Tony Hawk endorsed, which use tracks which are magnetized, such as a MagLev train, have tracks going throughout suburbs and cities and we can get around with almost no friction, only air drag and spend less energy getting around."
luge,4444518,Giant Ice Luge Expressway That could get people from major buildings across town in a matter of minutes without traffic.
regulation,4444462,A smart road grid that would integrate with electronic on each vehicle and be able to route traffic flow for the best efficiantly give traffic patterns at a given moment
teleport,4444496,Cell phone teleport
safety,4444532,"I believe that there should be a police cars that have the ability to take control over other vehicles. For instance, if a criminal is speeding down a highway, then there should be a way to highjack that car in order to ensure the safety for other citizens."
self-driving cars,4444463,A system with auto mated self driving vehicles powered by cold fusion technology
self-driving cars,4444486,Autonomous  vehicles that drive themselves on a smart transportation grid.  Need to go somewhere call for a vehicle tyo pick you up. Most local transport can be done without a personal car.
self-driving cars,4444513,"Free parking for self driving cars. Each family could use one car that would drive them around and then go to a designated spot nearby to wait. In it's downtime, it could even act as cab for other people so families could make more money."
service - renting,4444460,"A simple bicycle exchange and rental program that works on a library card system. Bicycles are locked up around the city, and there are stations for returning bikes in padlocks. The whole system is operated by swiping a public library card."
service - renting,4444482,"Apartment complexes that have segway type machines that can be rented out. You can use them to go to the nearby grocery stores, etc, and return after an hour or so."
service - renting,4444519,"Golf cart rental - similar to bike rental, but golf carts can hold families. With a small membership fee, you can rent a golf cart for an hour or a day. Return golf cart back to another station when you're done."
service - renting,4444535,"I envision a bike rack where you can check out bikes that also have an electric motor.  You swipe your credit card (or some sort of near field smartphone transaction, etc) and pay a small rental fee.  If the bike is lost or stolen your card will be charged appropriately.  You can ride around the downtown, college campus, etc, and at the end of the day check the bike back into another (or the same) bike rack."
service - sharing,4444443,A car sharing system to help with the last leg or mile of transportation from the bus or rail or subway. A system where you have a share or part ownership in a fleet of cars.
moving surface,4444453,"A people mover like in the airport, but in place of regular city sidewalks instead."
self-driving cars,4444465,"A traveler uses an app or calls a number to set up a pickup location and destination. An automated taxi picks the traveler up and takes him/her to a hub. The traveler transfers onto a sky train. The sky train is either a fast monorail or a helicopter. The sky train departs to a hub closest to the destination. The traveler gets off and enters another automated taxi, which finishes taking him/her to the destination."
driver assist,4444488,"Better GPS, on demand service like Uber but for chores, house work, etc"
self-driving cars,4444499,Combine the new driverless car technology with a bus.  Create an app that people use to communicate with the bus and schedule rides.  The app could track their location and do calculations for where everyone is and wants to go then create the shortest and fastest route.  When there are no more riders the bus could park its self.
standard train,4444441,A bullet train to connect major cities in the state and outside of the state.
standard train,4444447,A grid system in which people load and unload off of a small transit rail.
standard bus,4444454,A public bus transport system that will alllow commuters to get from point A to point B. This will allow for citizens to save money and be energy efficient.
standard bus,4444473,Alternative transportation could be taking a trolley that would be the same cost as a local bus .
cable car,4444478,"An elevated air-tram service that connects to other major transportation options. Since it's above-ground, it can bypass a lot of traffic and one-way streets that plague and slow-down current options."
standard train,4444491,bullet train running straight up and down the west coast would be super popular.
standard bus,4444530,"I believe a rail car in the middle of the road would be great to take you from one part of the city to the other. This would obey normal traffic rules, but would be a no to low cost solution to transportation that would also drastically decrease DUI and traffic incidents due to alcohol."
standard train,4444540,I imagine a world where there are high speed rails all over my neighborhood. People will be travel in public transportation in a fast and effective manner to anywhere they want.
