Synth,Unique ID,Text: Verbatim
flying bike,33333396,A flying bike that can come straight to you with a click of a button from your phone or tablet.
high speed train,33333413,A high-speed rail that goes around the neighborhood into the city.
human powered,33333424,A human taxi system like they have in Asian countries. A guy can run around with a cart and pick up passengers.
standard rail system,33333437,"A magnetic railway car, like a trolley, that moves and stops by people pressing buttons on the side of the road"
tubes,33333550,A station with a tube in the ground with a high speed pod that would shoot me at a quick speed across the city or across the country in a couple hours. It would be faster than an airplane and safer too.
standard bus,33333716,Busses that come by every 15 minutes to popular spots on campus. Make the schedule more on time and more available to students.
tubes,33333784,"Elon Musk's Hyperloop, Hi speed trains traveling in tubes above the city."
standard bus,33333886,"I can imagine a speedbus being a new form of transportation.  It can have its own lane or tracks, and go as fast or faster than a train."
standard rail system,33334092,I would love to see a light rail system in my community. I am thinking of above ground trains that would run to the various suburbs and take people to various local stops. These trains should run a regular schedule so people can use them to commute.
standard rail system,33334142,In the city i live in there is no public transportation. If some rails or buses could be brought in it could help a lot of people here.
high speed train,33334164,It be awesome to have Subways to get to downtown faster for Football game and save money on parking.
moving surface,33334216,Make an interstate system that is powered by a conveyor belt.
standard rail system,33334277,my city needs a subway system badly. A subway system would run in a star shaped pattern through the city and eliminate the terrible traffic in my city
standard rail system,33334314,"My neighborhood will continue to use mainly personal vehicles as a mode of transportation, though the downtown area is working on an underground rail system."
teleportation,33334329,"Obviously teleportation would be awesome, like with portals to common places."
self-driving cars,33334367,pod like stock cars for city that run on electric. They can be in routes and be like taxis but driverless.
standard rail system,33334386,Railways - Play a leading role in carrying passengers and cargo across India's vast territory.
fewer cars,33334390,remove all non commercial traffic.  have extensive light rail connected to robust subway system.  have storage containers deliver large goods.
regulation,33334460,Smarter stop lights that are better at managing traffic congestion
moving surface,33334553,"There should be large carousel in the city that circles the block, so people just get on a horse and go where they can."
service - renting,33334583,This transportation system would be the most spectacular to the entire neighborhood. It is a neighborhood vehicle hub system. It is a hub where everyone with an android or ios or windows phone can open an app and rent out a car or a bike to use around the neighborhood with the additional benefit on these hubs being eco friendly public restrooms with vending machines for those that wish to travel locally and have the munchies.
bike lane,33334584,This would be a bike lane that would be protected from other vehicles. It would make biking more safe and efficient. Bicycles would move in one road and cars would be on a different one. Cars would have to give the right of way to bicycles.
standard car,33334586,Three wheels auto two in back and one in front. 4 to 5 people can travel in it.
uber - bus,33334587,"Ticket sharing system for people who make infrequent trips into the city, or suddenly need to do several trips in a row. A group of people could collectively share a commuter pass for the train or bus system. It would be like a Netflix of commuter passes. The ticket could be held in an existing business or maybe a library, and the ticket would be checked out like a book. People would pay each day they hold the ticket."
regulation,33334588,To reduce gridlock and rush hour traffic governments should offer tax incentives for employers offering a staggered work day. I.e. Employees scheduled to be gin work at different times rather than the 7-10 o'clock  morning hour.
bike lane,33334589,"Tracks built into the bicycle lanes on roadways that you can click a seat into and ""ride"" to your destination"
standard rail system,33334590,train
standard rail system,33334591,Train on tracks.  A small and slow train on preset track for people to enjoy the neighborhood.
standard rail system,33334594,Transportation based on carts. Everyone gets on a cart that moves from street to street. It stops only briefly to let people on and off.
personal vehicle,33334595,"Transportation by shopping cart taxis. It's fun, it's cheap, and it'll certainly get the kids on board."
flying wearable,33334596,"Transportation is mostly done by cars nowadays, but why don't we use rocket powered shoes instead? Flying with footwear is not only cool, it would be much faster than driving."
service - renting,33334597,Transportation that would allow people to rent out electric self driving cars. This would let people have cars pick them up at whatever location they want and have the car autonomously drive to their destination. Similar to a fleet of self driving electric taxis. This would greatly reduce the cost of transportation in my opinion because people would not have to buy cars but could rather rent or lease them.
030noise,33334598,transportation vehicles
flying drone,33334599,Transportation would not be about getting the general population from home to work and back. It would be about moving goods and services to people directly. This will require drone technologiy so that road infrastructure could be used to get bulk items from one place to another more efficiently and faster. Public transportation should be the rule.
cable,33334600,"Travel by wire 10 ft above ground, like a ski lift."
standard rail system,33334601,Trolley line that goes up and down the hill I live so that residents can reach the shopping center more easily.
tubes,33334604,Tubes that are linked together and are wide enough to fit a person laying down. People get in a capsule and are delivered in great speeds to their destination by using compressed air or other methods. You can have tube terminals all over the city.
tubes,33334605,Tubes that fly you around really fast like. It would be free and you could feel air wishing by you.
tubes,33334606,"Tubes. Interconnected web that you can get in at your front door, arrive at your destination all while sitting back and relaxing."
road in new dimension,33334608,"Tunnels, a series of tunnels to and from various nodes around the neighborhood, with access at most corners. These would have flat conveyors to make movement faster than normal walking much like in airports but also be underground to be out of the way and avoid unpleasant weather."
