,Synthesized,ID,Solution Set: Group Experienced,,tokens,lemmas,pos_tagged
0,enhanced car,4444470,All persons having two wheelers or four wheelers or both. That time may be very high traffic while travelling. So increasing the road transportation as possible in near future.,,"[All, persons, having, two, wheelers, or, four, wheelers, or, both, That, time, may, be, very, high, traffic, while, travelling, So, increasing, the, road, transportation, as, possible, in, near, future]","['all', 'person', 'have', 'two', 'wheeler', 'or', 'four', 'wheeler', 'or', 'both', 'that', 'time', 'may', 'be', 'very', 'high', 'traffic', 'while', 'travel', 'so', 'increase', 'the', 'road', 'transportation', 'as', 'possible', 'in', 'near', 'future']","[('all', 'DET'), ('person', 'NOUN'), ('two', 'NUM'), ('wheeler', 'NOUN'), ('four', 'NUM'), ('wheeler', 'NOUN'), ('that', 'DET'), ('time', 'NOUN'), ('may', 'VERB'), ('high', 'ADJ'), ('traffic', 'NOUN'), ('travel', 'VERB'), ('so', 'ADV'), ('increase', 'VERB'), ('road', 'NOUN'), ('transportation', 'NOUN'), ('possible', 'ADJ'), ('near', 'ADP'), ('future', 'ADJ')]"
1,self-driving cars,4444486,Autonomous  vehicles that drive themselves on a smart transportation grid.  Need to go somewhere call for a vehicle tyo pick you up. Most local transport can be done without a personal car.,,"[Autonomous,  , vehicles, that, drive, themselves, on, a, smart, transportation, grid,  , Need, to, go, somewhere, call, for, a, vehicle, tyo, pick, you, up, Most, local, transport, can, be, done, without, a, personal, car]","['autonomous', '', 'vehicle', 'that', 'drive', 'themselves', 'on', 'a', 'smart', 'transportation', 'grid', '', 'need', 'to', 'go', 'somewhere', 'call', 'for', 'a', 'vehicle', 'tyo', 'pick', 'you', 'up', 'most', 'local', 'transport', 'can', 'be', 'do', 'without', 'a', 'personal', 'car']","[('autonomous', 'ADJ'), (' ', 'SPACE'), ('vehicle', 'NOUN'), ('drive', 'VERB'), ('smart', 'ADJ'), ('transportation', 'NOUN'), ('grid', 'NOUN'), (' ', 'SPACE'), ('need', 'VERB'), ('go', 'VERB'), ('somewhere', 'ADV'), ('call', 'NOUN'), ('vehicle', 'NOUN'), ('tyo', 'NOUN'), ('pick', 'VERB'), ('most', 'ADV'), ('local', 'ADJ'), ('transport', 'NOUN'), ('do', 'VERB'), ('without', 'ADP'), ('personal', 'ADJ'), ('car', 'NOUN')]"
2,electric vehicle,4444507,electricity is the great discover,,"[electricity, is, the, great, discover]","['electricity', 'be', 'the', 'great', 'discover']","[('electricity', 'NOUN'), ('great', 'ADJ'), ('discover', 'NOUN')]"
3,000noise,4444446,a great discover for human,,"[a, great, discover, for, human]","['a', 'great', 'discover', 'for', 'human']","[('great', 'ADJ'), ('discover', 'NOUN'), ('human', 'ADJ')]"
4,levitation,4444524,Hover boards,,"[Hover, boards]","['hover', 'board']","[('hover', 'PROPN'), ('board', 'NOUN')]"
5,electric vehicle,4444477,An electromagnetic solar powered monorail. Its only a means to replace a standard city beltway people would commute to parking lots and take the rail to the inner city where it would connect with the local subway and bus system for extentability.,,"[An, electromagnetic, solar, powered, monorail, Its, only, a, means, to, replace, a, standard, city, beltway, people, would, commute, to, parking, lots, and, take, the, rail, to, the, inner, city, where, it, would, connect, with, the, local, subway, and, bus, system, for, extentability]","['an', 'electromagnetic', 'solar', 'power', 'monorail', 'its', 'only', 'a', 'mean', 'to', 'replace', 'a', 'standard', 'city', 'beltway', 'people', 'would', 'commute', 'to', 'parking', 'lot', 'and', 'take', 'the', 'rail', 'to', 'the', 'inner', 'city', 'where', 'it', 'would', 'connect', 'with', 'the', 'local', 'subway', 'and', 'bus', 'system', 'for', 'extentability']","[('an', 'DET'), ('electromagnetic', 'ADJ'), ('solar', 'NOUN'), ('power', 'VERB'), ('monorail', 'NOUN'), ('its', 'ADJ'), ('mean', 'NOUN'), ('replace', 'VERB'), ('standard', 'ADJ'), ('city', 'NOUN'), ('beltway', 'NOUN'), ('people', 'NOUN'), ('would', 'VERB'), ('commute', 'VERB'), ('parking', 'NOUN'), ('lot', 'NOUN'), ('take', 'VERB'), ('rail', 'NOUN'), ('inner', 'ADJ'), ('city', 'NOUN'), ('would', 'VERB'), ('connect', 'VERB'), ('local', 'ADJ'), ('subway', 'NOUN'), ('bus', 'NOUN'), ('system', 'NOUN'), ('extentability', 'NOUN')]"
6,service - sharing,4444465,"A traveler uses an app or calls a number to set up a pickup location and destination. An automated taxi picks the traveler up and takes him/her to a hub. The traveler transfers onto a sky train. The sky train is either a fast monorail or a helicopter. The sky train departs to a hub closest to the destination. The traveler gets off and enters another automated taxi, which finishes taking him/her to the destination.",,"[A, traveler, uses, an, app, or, calls, a, number, to, set, up, a, pickup, location, and, destination, An, automated, taxi, picks, the, traveler, up, and, takes, himher, to, a, hub, The, traveler, transfers, onto, a, sky, train, The, sky, train, is, either, a, fast, monorail, or, a, helicopter, The, sky, train, departs, to, a, hub, closest, to, the, destination, The, traveler, gets, off, and, enters, another, automated, taxi, which, finishes, taking, himher, to, the, destination]","['a', 'traveler', 'use', 'an', 'app', 'or', 'call', 'a', 'number', 'to', 'set', 'up', 'a', 'pickup', 'location', 'and', 'destination', 'an', 'automate', 'taxi', 'pick', 'the', 'traveler', 'up', 'and', 'take', 'himher', 'to', 'a', 'hub', 'the', 'traveler', 'transfer', 'onto', 'a', 'sky', 'train', 'the', 'sky', 'train', 'be', 'either', 'a', 'fast', 'monorail', 'or', 'a', 'helicopter', 'the', 'sky', 'train', 'depart', 'to', 'a', 'hub', 'close', 'to', 'the', 'destination', 'the', 'traveler', 'get', 'off', 'and', 'enter', 'another', 'automate', 'taxi', 'which', 'finish', 'take', 'himher', 'to', 'the', 'destination']","[('a', 'DET'), ('traveler', 'NOUN'), ('use', 'VERB'), ('app', 'NOUN'), ('call', 'VERB'), ('number', 'NOUN'), ('set', 'VERB'), ('pickup', 'NOUN'), ('location', 'NOUN'), ('destination', 'NOUN'), ('an', 'DET'), ('automate', 'VERB'), ('taxi', 'NOUN'), ('pick', 'VERB'), ('traveler', 'NOUN'), ('take', 'VERB'), ('himher', 'NOUN'), ('hub', 'NOUN'), ('the', 'DET'), ('traveler', 'NOUN'), ('transfer', 'VERB'), ('onto', 'ADP'), ('sky', 'NOUN'), ('train', 'NOUN'), ('the', 'DET'), ('sky', 'NOUN'), ('train', 'NOUN'), ('either', 'CONJ'), ('fast', 'ADJ'), ('monorail', 'NOUN'), ('helicopter', 'NOUN'), ('the', 'DET'), ('sky', 'NOUN'), ('train', 'NOUN'), ('depart', 'VERB'), ('hub', 'NOUN'), ('close', 'ADJ'), ('destination', 'NOUN'), ('the', 'DET'), ('traveler', 'NOUN'), ('get', 'VERB'), ('enter', 'VERB'), ('another', 'DET'), ('automate', 'VERB'), ('taxi', 'NOUN'), ('finish', 'VERB'), ('take', 'VERB'), ('himher', 'NOUN'), ('destination', 'NOUN')]"
7,service - sharing,4444443,A car sharing system to help with the last leg or mile of transportation from the bus or rail or subway. A system where you have a share or part ownership in a fleet of cars.,,"[A, car, sharing, system, to, help, with, the, last, leg, or, mile, of, transportation, from, the, bus, or, rail, or, subway, A, system, where, you, have, a, share, or, part, ownership, in, a, fleet, of, cars]","['a', 'car', 'sharing', 'system', 'to', 'help', 'with', 'the', 'last', 'leg', 'or', 'mile', 'of', 'transportation', 'from', 'the', 'bus', 'or', 'rail', 'or', 'subway', 'a', 'system', 'where', 'you', 'have', 'a', 'share', 'or', 'part', 'ownership', 'in', 'a', 'fleet', 'of', 'car']","[('a', 'DET'), ('car', 'NOUN'), ('sharing', 'NOUN'), ('system', 'NOUN'), ('help', 'VERB'), ('last', 'ADJ'), ('leg', 'NOUN'), ('mile', 'NOUN'), ('transportation', 'NOUN'), ('bus', 'NOUN'), ('rail', 'NOUN'), ('subway', 'NOUN'), ('a', 'DET'), ('system', 'NOUN'), ('share', 'NOUN'), ('part', 'NOUN'), ('ownership', 'NOUN'), ('fleet', 'NOUN'), ('car', 'NOUN')]"
8,cable,4444442,A cablecar system,,"[A, cablecar, system]","['a', 'cablecar', 'system']","[('a', 'DET'), ('cablecar', 'NOUN'), ('system', 'NOUN')]"
9,flying,4444509,Fly for smart phone,,"[Fly, for, smart, phone]","['fly', 'for', 'smart', 'phone']","[('fly', 'VERB'), ('smart', 'ADJ'), ('phone', 'NOUN')]"
