,,Similarity_Type,Number of Clusters (input),Number of clusters(output),Affinity Type,Word/Sentence,File_Name,Clusters,Mismatch Metric,Match Metric,M,False Positive,False Negative
,,num_word_similarity,8,3,nearest_neighbors,word-based,n50_de_bc,"[2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 0, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 3, 2, 3, 2, 3, 2, 3, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3]",1195,135,19,68,1127
,,num_word_similarity,8,8,nearest_neighbors,sentence-based,n50_de_bc,"[1 6 1 4 2 6 3 7 2 2 2 2 7 0 2 5 2 4 0 4 6 1 3 3 3 5 5 6 5 5 1 2 2 3 6 5 3
 3 2 3 4 1 7 5 3 4 7 3 2 3]",439,75,5,128,311
,,num_word_similarity,8,8,precomputed,word-based,n50_de_bc,"[6, 7, 7, 6, 3, 7, 7, 7, 5, 2, 0, 7, 2, 2, 1, 7, 2, 2, 7, 4, 7, 6, 2, 7, 4, 7, 7, 2, 2, 0, 6, 0, 2, 7, 2, 3, 2, 2, 2, 7, 2, 7, 7, 1, 2, 7, 7, 2, 2, 0]",671,95,3,108,563
,,num_word_similarity,8,8,precomputed,sentence-based,n50_de_bc,"[4 2 1 5 0 6 1 6 0 0 0 5 1 5 0 0 0 2 5 5 2 4 1 7 1 3 3 2 0 5 4 0 0 2 6 6 5
 6 0 3 0 4 1 3 1 0 6 1 0 2]",459,79,6,124,335
,,num_word_similarity,8,5,rbf,word-based,n50_de_bc,"[2, 4, 4, 6, 4, 4, 4, 2, 1, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1545,189,1,14,1531
,,num_word_similarity,8,8,rbf,sentence-based,n50_de_bc,"[0 0 0 0 5 0 0 0 0 0 2 0 0 0 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 0 0 0
 0 7 0 0 0 0 0 0 0 0 0 1 0]",1639,169,1,34,1605
,,num_word_similarity,8,1,sigmoid,word-based,n50_de_bc,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2297,203,50,0,2297
,,num_word_similarity,8,8,sigmoid,sentence-based,n50_de_bc,"[1 5 1 1 3 2 1 0 1 2 2 2 0 7 0 1 0 2 6 1 2 1 1 2 1 1 1 2 0 1 1 4 1 1 2 1 2
 2 0 1 1 1 2 1 0 1 1 1 2 1]",853,99,1,104,749
,,num_word_similarity,8,4,polynomial,word-based,n50_de_bc,"[2, 2, 0, 0, 0, 2, 2, 2, 4, 4, 0, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2]",1515,165,4.5,38,1477
,,num_word_similarity,8,8,polynomial,sentence-based,n50_de_bc,"[7 6 4 4 4 6 0 7 4 4 4 4 7 6 4 4 4 3 6 4 1 4 4 6 4 4 4 2 4 4 4 4 4 5 2 4 0
 4 4 4 4 4 7 4 4 4 7 0 4 3]",1027,103,2.5,100,927
,,num_word_similarity,8,3,poly,word-based,n50_de_bc,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1]",1953,187,2,16,1937
