,cluster,n,keywords,idea
0,1,0,[],a bus that plays all 80s music all the time
1,1,0,[],A flying bike that can come straight to you with a click of a button from your phone or tablet.
2,1,0,[],"A great mode of transportation in my neighborhood could be a bus or tram that runs along the local parkway (a road that basically goes across the whole town) people would be able to hop on it and ride it to their destination and be there within walking distance when getting off the bus/tram. Could be relatively cheap, clear up traffic with less people having to drive around, and is highly economical."
3,1,0,[],A high-speed rail that goes around the neighborhood into the city.
4,1,0,[],"A human carrying drone. This would require it to be build and withstand certain weight thresholds, such as up to 200 pounds. You would call a drone in and let it know where you want to go. It would pick you up and fly you there at a decent rate of speed and without having to sit in traffic."
5,1,0,[],A human taxi system like they have in Asian countries. A guy can run around with a cart and pick up passengers.
6,1,0,[],"A magnetic railway car, like a trolley, that moves and stops by people pressing buttons on the side of the road"
7,1,0,[],A station with a tube in the ground with a high speed pod that would shoot me at a quick speed across the city or across the country in a couple hours. It would be faster than an airplane and safer too.
8,1,0,[],"A way to connect your car with a mobile phone app - you would broadcast your intended route (such as commuting home from work) and share this route with people in your local area. For a small fee (under $5) - someone could ask to ""Ride Along"" with you along your route - but with no deviations - they would be allowed to get out along the way, but not change your intended path of travel."
9,1,0,[],Busses that come by every 15 minutes to popular spots on campus. Make the schedule more on time and more available to students.
10,1,0,[],"Car sharing. Everyone can join a club which has some monthly fee, let's say $100. If they pay this, then they find someone who lets them ride everyday with them to work and back home. They driver gets most of the money (the rest goes to overhead) and takes them to and from work everyday. So I guess it's like a taxi service with a monthly fee, hopefully that using people that work with you at your job."
11,1,0,[],"Change the road into a high speed moving floor, like what they have at airport terminals but faster and with chairs to sit in.  You can board a chair in a parking lot/driveway and operate a machine to choose destination.  The chair will then merge into the moving road and go for the destination."
12,1,0,[],Combining food delivery services with taxi driving to maximize efficiency.
13,1,0,[],"Elon Musk's Hyperloop, Hi speed trains traveling in tubes above the city."
14,1,0,[],"I can imagine a speedbus being a new form of transportation.  It can have its own lane or tracks, and go as fast or faster than a train."
15,1,0,[],I imagine a magnetic public hovercraft system that goes to individual homes on a grid.
16,1,0,[],"I think having a streetcar system would be amazing, it could be automated to accept fares, and would provide safe transportation for all."
17,1,0,[],"I think it would be great to have a jitney-type bus that you could hail like a cab directly from the street.  The jitney would be electric powered and follow a specific route.  I think this would be great because I live in a town that has many tourists, but does not have a large population.  It could shuttle tourists to different areas, but the tourists wouldn't have to worry about a specific bus schedule.  The jitney could drive on streets that are not bus-accessible (some of our streets are ""old world"" and very narrow). There is also some frustration in my town about not having a vibrant night life because of lack of public transportation.  This jitney would allow people to go downtown, especially college students, and have some drinks without worrying about driving.  One of the stops would be the college campus. The jitney would have a very low fair to encourage people not to drink and drive.  This jitney would help downtown businesses and restaurants."
18,1,0,[],I would love to see a light rail system in my community. I am thinking of above ground trains that would run to the various suburbs and take people to various local stops. These trains should run a regular schedule so people can use them to commute.
19,1,0,[],"I'm imagining a car sharing service with locations throughout the city where you can go pick up a car without having to reserve one in advance. Nor would you have to interact with any people at the pickup/dropoff location. It would be somehow automated. Perhaps you would subscribe to the service an at annual or monthly rate and be given a special kind of 'key' that would give access to any of the cars currently at the pick up location. It would be first come first serve, and there would be smart technology embedded in both the cars and the keys. Your universal key would be linked to your account, and the car you used would transmit all relevant information to the system. Such as , time of pick up. number of miles drive. amount of gas used. Then the fees would be adjusted accordingly based on the type of car you used, miles driven, gas consumed etc. all of this without any human employees and all the fuss that comes with tradiional car rental. Things like insurance and billing info would all be done upfront when a patron sets up an account. This is genius, the more i think about it!"
20,1,0,[],In the city i live in there is no public transportation. If some rails or buses could be brought in it could help a lot of people here.
21,1,0,[],It be awesome to have Subways to get to downtown faster for Football game and save money on parking.
22,1,0,[],Make an interstate system that is powered by a conveyor belt.
23,1,0,[],my city needs a subway system badly. A subway system would run in a star shaped pattern through the city and eliminate the terrible traffic in my city
24,1,0,[],"My neighborhood will continue to use mainly personal vehicles as a mode of transportation, though the downtown area is working on an underground rail system."
25,1,0,[],"My small rural town doesn't even have an intact bus system, so anything would be better than it is now. But I would like a service that has people who drive pick up trucks to help you move things. For instance, if you go to the store and purchase a new couch, I'd like to have something like Uber for Pick Up Trucks to call and have them bring my sofa home so that I don't have to pay for outragious delivery fees from the store."
26,1,0,[],"Obviously teleportation would be awesome, like with portals to common places."
27,1,0,[],personal transportation is one of the best innovation.
28,1,0,[],pod like stock cars for city that run on electric. They can be in routes and be like taxis but driverless.
29,1,0,[],pretty good
30,1,0,[],Railways - Play a leading role in carrying passengers and cargo across India's vast territory.
